date,Open,High,Low,Close,Value,Volume
2026-01-26,3.15,3.15,3.15,3.15,10407600.0,3304000.0
2026-01-27,4.5,4.5,2.76,3.58,111103760.0,30748273.06273063
2026-01-28,3.51,3.51,3.15,3.18,46793850.0,14266417.68292683
2026-01-29,3.29,4.2,3.21,4.09,33569200.0,8757182.608695652
2026-01-30,4.0,4.99,3.82,4.32,38633620.0,8827178.979436405
2026-02-02,3.89,4.71,3.8,4.19,13467080.0,3181200.0
2026-02-03,4.19,5.1,4.19,4.64,41318300.0,8898413.496051686
2026-02-04,4.8,4.85,4.39,4.52,18139550.0,3954843.7500000005
2026-02-05,4.51,4.51,4.06,4.3,11558550.0,2694300.6993006994
2026-02-06,4.29,4.43,4.11,4.36,7376280.0,1715413.9534883723
2026-02-09,4.45,4.6,4.31,4.35,5145590.0,1164160.6334841629
2026-02-10,4.3,4.39,4.14,4.2,16615710.0,3915721.1311861747
2026-02-11,4.19,4.41,3.61,3.86,31817410.0,8034699.494949496
2026-02-12,3.8,3.99,3.67,3.71,18328290.0,4835960.422163588
2026-02-13,3.72,3.85,3.64,3.7,3859530.0,1034726.5415549597
2026-02-16,3.7,3.9,3.65,3.8,13163430.0,3479320.704845815
2026-02-18,3.9,3.95,3.69,3.69,4001420.0,1059511.0326566636
2026-02-19,3.7,3.79,3.65,3.75,4478320.0,1200621.983914209
2026-02-20,3.75,3.88,3.75,3.83,10092700.0,2642068.062827225
2026-02-23,3.79,3.82,3.65,3.65,4517830.0,1218839.0287769784
2026-02-24,3.65,3.7,3.61,3.63,4705520.0,1290361.97440585
2026-02-25,3.64,3.7,3.6,3.65,3685340.0,1009682.1917808218
2026-02-26,3.65,3.98,3.62,3.94,9603780.0,2496649.9133448876
2026-02-27,3.98,4.02,3.72,3.79,3531640.0,918900.2601908065
2026-03-02,3.68,4.0,3.65,3.88,5023540.0,1307078.924544666
2026-03-03,3.87,4.74,3.82,4.74,33636740.0,7587234.586466165
2026-03-04,4.74,4.85,3.8,3.85,22798700.0,5471688.000000001
2026-03-05,3.89,4.48,3.88,4.31,22035010.0,5217445.146014208
2026-03-06,4.35,4.44,4.04,4.05,4165300.0,997278.5315243416
2026-03-09,3.9,3.9,3.61,3.67,11292910.0,3030297.8533094814
2026-03-10,3.71,4.15,3.71,4.1,9272750.0,2325940.635451505
2026-03-11,4.18,4.45,4.11,4.29,8016880.0,1871645.1361867702
2026-03-12,4.34,4.34,3.92,4.15,3244480.0,784322.3207091056
2026-03-13,4.0,4.4,3.96,4.26,5859550.0,1392919.968304279
2026-03-16,4.3,4.49,4.0,4.02,12296450.0,2948788.9688249403
2026-03-17,4.28,6.03,4.28,6.03,136145500.0,24996113.83108935
2026-03-18,6.42,7.36,6.06,6.19,162315685.0,24831568.33248343
2026-03-19,6.2,6.4,5.3,5.42,38162578.0,6687367.640186916
2026-03-23,5.06,5.16,4.75,4.81,43652192.0,8896506.52173913
2026-03-24,5.05,5.4,4.91,5.19,39643430.0,7672921.93548387
2026-03-25,5.38,5.78,5.34,5.6,19964969.0,3582231.2799043064
2026-03-26,5.6,6.45,5.32,6.2,59176923.0,9879285.976627713
2026-03-27,6.17,6.19,5.67,5.78,17946787.0,3052174.6598639456
2026-03-30,5.7,6.46,5.4,6.3,31703148.0,5237304.185022026
2026-03-31,6.44,7.14,6.35,6.9,42058862.0,6188160.176557136
2026-04-01,6.95,8.35,6.95,7.75,76309690.0,9931846.854663774
2026-04-06,7.8,8.27,7.1,7.35,51426872.0,6790520.070422535
2026-04-07,7.49,7.65,7.1,7.34,18545756.0,2518663.1054775915
2026-04-08,7.6,8.0,7.5,7.83,25365150.0,3261699.528504072
2026-04-10,7.7,8.44,7.5,7.67,42690209.0,5424422.998729352
2026-04-13,7.67,8.35,7.36,8.25,42886798.0,5369799.415692821
2026-04-14,8.36,8.75,8.36,8.52,50258474.0,5882771.049551307
2026-04-15,8.74,8.94,8.16,8.25,32623441.0,3860762.2485207096
2026-04-16,8.45,8.45,7.83,7.83,50177980.0,6243630.8585649105
