date,Open,High,Low,Close,Value,Volume
2026-02-09,18.82,18.88,18.7,18.7,5866828.0,312730.70362473343
2026-02-10,18.52,18.98,18.52,18.9,8503688.0,452323.829787234
2026-02-11,18.96,19.5,18.66,19.5,12135730.0,631411.5504682623
2026-02-12,19.5,19.62,19.2,19.24,3392748.0,175305.6148811574
2026-02-13,19.24,19.38,19.1,19.1,7807434.0,406778.43001042027
2026-02-19,19.62,20.6,18.3,18.3,36847505.0,1932561.4510489511
2026-02-20,18.34,18.5,17.6,17.96,23134974.0,1283849.833518313
2026-02-23,17.96,17.96,17.6,17.72,22038294.0,1240894.9324324324
2026-02-24,17.88,18.4,17.74,18.4,12743800.0,700979.097909791
2026-02-25,18.4,18.64,18.3,18.52,11300534.0,611280.2380093762
2026-02-26,18.5,18.54,18.2,18.3,12740980.0,694457.4854651163
2026-02-27,18.3,18.4,18.16,18.34,3752532.0,205056.39344262294
2026-03-02,18.24,18.26,17.84,18.0,10289104.0,570560.2957486137
2026-03-03,17.94,18.2,17.82,17.92,12124086.0,674309.5661846496
2026-03-04,17.92,17.92,17.22,17.22,20290478.0,1162556.0351413293
2026-03-05,17.22,17.86,17.22,17.74,11447076.0,650155.7743279061
2026-03-06,17.74,17.9,17.52,17.68,5881968.0,332314.57627118647
2026-03-09,17.68,17.68,16.9,17.14,20376332.0,1181921.8097447797
2026-03-10,17.2,17.8,17.2,17.62,2479462.0,141360.43329532494
2026-03-11,17.98,18.44,17.62,18.2,6103516.0,337459.417618872
2026-03-12,18.2,18.5,17.6,17.62,17290438.0,965586.6344005957
2026-03-13,17.88,18.1,17.68,18.02,3170298.0,176782.4163568773
2026-03-16,18.02,18.3,17.64,17.64,9986772.0,559169.764837626
2026-03-17,17.64,17.66,17.08,17.16,7340616.0,424313.0635838151
2026-03-18,17.26,17.72,17.26,17.48,3286916.0,187966.98436904306
2026-03-19,17.3,17.3,17.06,17.2,4107066.0,238968.15360744763
2026-03-23,17.22,17.22,16.92,16.98,4573476.0,268396.4788732394
2026-03-24,16.92,17.1,16.92,17.0,9423238.0,554090.827126617
2026-03-25,17.0,17.0,16.94,16.96,7596664.0,447740.510805501
2026-03-26,17.0,17.7,16.88,17.3,12891630.0,745468.1958365459
2026-03-27,17.76,18.02,17.5,17.92,6100652.0,342476.7215568862
2026-03-30,17.9,17.9,17.4,17.58,2960226.0,167940.20423600607
2026-03-31,17.58,17.9,17.5,17.88,3327796.0,187375.9009009009
2026-04-01,18.0,18.38,17.58,18.38,14839542.0,819260.6919396395
2026-04-06,18.22,18.28,17.72,17.9,3597530.0,200233.58070500928
2026-04-07,18.44,18.44,17.96,18.24,10759990.0,590775.4392386529
2026-04-08,18.36,18.52,18.22,18.46,8783114.0,477343.1521739131
2026-04-10,18.5,18.68,18.4,18.42,11938556.0,645327.3513513514
2026-04-13,18.5,18.5,17.8,17.86,9464144.0,524232.4963072379
2026-04-14,17.86,17.96,17.0,17.4,14237706.0,815758.5561497327
2026-04-15,17.24,17.68,17.2,17.5,6512626.0,373002.6345933563
2026-04-16,17.5,18.0,17.46,17.68,2429548.0,137159.27738050433
2026-04-17,17.7,17.98,17.7,17.78,2497546.0,140154.09652076318
2026-04-20,17.86,18.0,17.74,17.86,2431708.0,136103.05970149257
2026-04-21,17.86,17.98,17.72,17.8,1109190.0,62197.57009345795
2026-04-22,17.8,17.8,17.6,17.72,2276590.0,128572.47740963855
2026-04-23,17.7,17.7,17.34,17.34,5046034.0,289005.38373424974
2026-04-24,17.34,17.7,17.18,17.18,3078232.0,177385.6319631195
2026-04-27,17.36,17.36,16.8,16.84,5706192.0,335658.35294117645
2026-04-28,16.84,16.9,16.74,16.86,2296984.0,136454.49504950497
2026-04-29,16.86,16.98,16.48,16.56,8297590.0,497656.337465014
2026-04-30,16.56,16.6,16.54,16.56,2421646.0,146175.814889336
2026-05-04,16.54,16.6,16.32,16.42,6507408.0,395667.28820429667
2026-05-05,16.42,16.42,15.9,16.18,11060254.0,684139.4226804123
2026-05-06,16.28,16.28,16.0,16.16,11077396.0,686048.4723369117
2026-05-07,16.16,16.36,16.0,16.1,5554792.0,343878.99298390426
2026-05-08,16.12,16.2,16.0,16.02,2353846.0,146444.17254251346
2026-05-11,16.2,16.5,16.02,16.34,2028570.0,124554.03192795745
2026-05-12,16.46,16.46,15.92,16.1,3936224.0,243578.21782178216
2026-05-13,16.1,16.1,15.62,15.8,6414312.0,404943.93939393945
2026-05-14,15.68,16.24,15.54,16.0,13803194.0,866671.8710757638
2026-05-15,16.24,16.84,16.24,16.42,2193338.0,132929.57575757575
2026-05-18,16.66,16.66,16.0,16.16,2503880.0,153863.990167964
2026-05-19,16.16,16.38,15.96,16.0,3473094.0,215541.62184526274
2026-05-20,16.0,16.12,15.94,16.0,2569280.0,160379.52559300873
2026-05-21,16.12,16.58,16.08,16.54,5684684.0,346627.0731707317
2026-05-22,16.54,16.54,15.96,15.96,6545546.0,405213.33058192325
2026-05-25,16.0,16.36,16.0,16.0,2748724.0,170516.37717121586
2026-05-26,16.0,16.18,15.9,15.98,3830130.0,239084.26966292135
2026-05-28,15.98,16.14,15.5,15.6,12337824.0,783519.7290431837
2026-05-29,15.58,15.98,15.36,15.6,14637380.0,935495.1001278227
2026-06-01,15.62,16.12,15.62,16.1,5599152.0,351117.39130434784
2026-06-02,16.1,16.14,15.88,16.12,4033718.0,251374.20024927295
2026-06-03,16.12,16.26,15.9,16.02,3624590.0,225690.53549190532
2026-06-04,16.0,16.2,15.96,16.06,2623214.0,163202.86188303606
2026-06-05,16.2,16.3,16.08,16.08,5698672.0,352786.1328931077
2026-06-08,16.26,16.26,15.9,15.92,4226154.0,263695.13311148086
2026-06-09,15.92,16.18,15.92,16.08,4246284.0,264401.24533001246
2026-06-10,16.08,16.08,15.42,15.52,2924522.0,186592.21607826458
2026-06-11,15.54,15.58,15.3,15.4,2477318.0,160586.73292999135
2026-06-15,15.3,16.3,15.3,15.92,1795912.0,113378.28282828281
2026-06-16,15.9,16.16,15.5,15.96,4145172.0,261140.61318773622
2026-06-17,16.18,16.18,15.88,15.94,2688756.0,168047.25
2026-06-18,15.94,16.02,15.84,15.9,2144426.0,134700.1256281407
2026-06-19,15.98,16.08,15.84,16.0,2384076.0,149253.50584307176
2026-06-22,16.1,16.12,15.8,16.0,1704080.0,106682.80467445742
2026-06-23,16.1,16.1,15.66,15.7,2993196.0,189203.2869785082
2026-06-24,15.7,15.7,15.52,15.54,5804778.0,372419.4610778443
2026-06-25,15.52,16.06,15.5,15.8,1327538.0,84092.35641891892
2026-06-26,15.8,16.0,15.52,16.0,1378344.0,87016.66666666667
2026-06-29,16.0,16.08,15.54,15.6,2656800.0,168792.8843710292
2026-06-30,15.86,16.0,15.6,15.9,1813214.0,114518.77894736841
2026-07-01,16.0,16.3,15.8,15.8,7938452.0,497189.06054279744
2026-07-02,15.8,16.3,15.8,16.08,3922676.0,244251.3075965131
2026-07-03,16.0,16.1,15.82,15.84,2320222.0,145742.58793969848
2026-07-06,15.9,16.46,15.9,16.38,6322714.0,389169.9220352893
2026-07-07,16.38,16.9,16.34,16.7,5112520.0,307119.74369243096
2026-07-08,16.7,16.8,16.5,16.7,2234188.0,134051.28
2026-07-09,16.4,16.8,16.04,16.12,3431000.0,210232.84313725485
2026-07-10,16.2,16.8,16.2,16.5,1307992.0,79272.24242424243
2026-07-13,16.36,16.64,16.26,16.32,12775380.0,778670.0528240551
2026-07-14,16.32,16.72,16.32,16.72,4778452.0,288089.95176848874
2026-07-15,19.34,22.3,18.3,19.8,449380147.0,22320205.976821188
2026-07-16,20.0,20.75,19.4,19.72,84547975.0,4236578.0023384
2026-07-17,19.54,19.68,19.14,19.2,45019348.0,2327784.2812823164
2026-07-20,19.4,20.0,18.14,18.34,65956732.0,3503367.492917847
2026-07-21,18.62,19.0,18.5,18.8,15294434.0,814978.7211367674
2026-07-22,18.8,19.62,18.72,19.4,33759320.0,1754034.6380325598
2026-07-23,19.4,19.8,19.02,19.48,12477082.0,642045.3859348199
2026-07-24,19.48,19.48,18.84,19.2,14986672.0,781641.4464534075
2026-07-27,19.14,20.5,19.14,20.5,38732827.0,1932133.0395743265
2026-07-28,20.5,20.7,19.8,20.5,17855364.0,878132.655737705
2026-07-29,20.0,20.45,19.9,20.25,16946840.0,838952.4752475248
2026-07-30,20.25,20.25,19.6,19.74,18123296.0,912399.5301225038
2026-07-31,19.7,19.72,19.5,19.5,13163844.0,672539.7138964577
2026-08-03,19.52,19.76,19.2,19.2,17844400.0,920447.0426409903
2026-08-04,19.18,19.18,18.72,18.78,17704320.0,937067.0430486944
2026-08-05,18.78,18.94,18.08,18.22,29114634.0,1581171.288921072
2026-08-06,18.34,19.0,18.2,18.7,28463652.0,1527566.296958855
2026-08-07,18.72,19.3,18.54,19.3,26231644.0,1377230.1715085753
2026-08-10,19.62,20.05,19.3,19.6,31401125.0,1598021.6284987275
2026-08-11,19.72,21.6,19.7,21.3,115977777.0,5558040.431309905
2026-08-12,21.5,31.0,21.5,27.35,543025245.0,20401699.874765188
2026-08-13,28.1,29.95,28.0,28.0,275373145.0,9611628.097731238
2026-08-14,28.25,31.85,28.2,30.7,511959445.0,16924279.17355372
